,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
0,33,550.0,chalet,371.0,False,6,3,Toledo,Numancia de la Sagra,False,40116,False,good,False,False,False,False,unknown,unknown,unknown,unknown
1,12,750.0,flat,60.0,True,1,1,Madrid,Madrid,True,7037,False,good,False,False,False,False,3,True,unknown,unknown
2,21,750.0,flat,70.0,True,2,1,Madrid,San Sebastián de los Reyes,False,16145,True,good,False,True,False,False,bj,False,unknown,unknown
3,28,400.0,penthouse,67.0,True,2,2,Madrid,Villamanrique de Tajo,False,55041,False,good,False,False,False,True,2,False,unknown,unknown
4,22,450.0,flat,89.0,False,2,1,Toledo,Recas,False,47186,False,good,False,False,False,False,2,True,True,True
5,21,450.0,flat,60.0,True,2,1,Toledo,Cedillo del Condado,False,38237,False,good,False,False,False,False,1,False,unknown,unknown
6,11,590.0,flat,70.0,True,3,2,Madrid,Rascafría,False,56596,False,good,False,False,False,False,unknown,False,unknown,unknown
7,17,684.0,studio,45.0,True,0,1,Madrid,Madrid,True,10656,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
8,19,600.0,flat,73.0,True,2,1,Madrid,Manzanares el Real,False,37062,False,good,False,False,False,False,3,False,unknown,unknown
9,15,600.0,duplex,71.0,True,1,1,Madrid,Miraflores de la Sierra,False,44126,False,good,False,False,False,False,1,False,unknown,unknown
10,6,550.0,flat,90.0,True,3,1,Toledo,El Viso de San Juan,False,35627,False,good,False,False,False,False,2,False,True,True
11,17,550.0,flat,53.0,True,1,1,Madrid,Madrid,False,4008,False,good,False,False,False,False,1,False,unknown,unknown
12,19,700.0,studio,28.0,True,0,1,Madrid,Madrid,True,5569,False,good,False,True,True,False,1,False,unknown,unknown
13,26,700.0,duplex,86.0,True,2,1,Madrid,Galapagar,False,31153,False,good,False,False,False,False,3,True,unknown,unknown
14,18,700.0,flat,45.0,False,1,1,Madrid,Madrid,False,2046,False,good,False,False,False,False,5,False,unknown,unknown
15,14,550.0,flat,54.0,True,2,1,Madrid,Arganda,True,26233,False,good,False,False,False,False,en,False,unknown,unknown
16,11,695.0,flat,64.0,True,2,1,Madrid,San Sebastián de los Reyes,True,15747,False,good,False,False,False,False,1,False,unknown,unknown
17,5,650.0,flat,68.0,True,2,1,Madrid,San Lorenzo de el Escorial,False,42410,False,good,False,False,False,False,bj,False,unknown,unknown
18,32,400.0,penthouse,70.0,True,2,1,Toledo,Camarena,False,50710,False,good,False,False,False,False,2,True,unknown,unknown
19,22,700.0,flat,30.0,False,1,1,Madrid,Madrid,False,3247,False,good,False,False,False,False,1,True,unknown,unknown
20,16,700.0,flat,35.0,False,1,1,Madrid,Madrid,False,1894,False,good,False,False,False,False,1,False,unknown,unknown
21,15,700.0,flat,43.0,True,1,1,Madrid,Madrid,False,4442,True,good,False,False,False,False,2,True,unknown,unknown
22,7,650.0,flat,60.0,True,2,1,Madrid,Madrid,True,3985,False,good,False,False,False,False,1,False,unknown,unknown
23,15,650.0,chalet,206.0,False,3,1,Madrid,Aldea del Fresno,False,43195,False,good,False,False,False,False,unknown,unknown,unknown,unknown
24,12,700.0,flat,105.0,True,3,2,Madrid,Aranjuez,False,44003,False,good,False,False,False,False,bj,False,unknown,unknown
25,9,695.0,flat,40.0,False,1,1,Madrid,Madrid,False,2271,False,good,False,True,False,False,4,True,unknown,unknown
26,13,675.0,flat,40.0,True,1,1,Madrid,Villanueva del Pardillo,False,23556,False,good,False,False,False,False,bj,False,True,True
27,12,650.0,flat,100.0,True,4,1,Guadalajara,Azuqueca de Henares,False,40911,False,good,False,False,False,False,3,False,unknown,unknown
28,36,500.0,flat,115.0,True,3,2,Segovia,El Espinar,False,54442,False,good,False,False,False,False,2,False,unknown,unknown
29,30,750.0,studio,45.0,False,0,1,Madrid,Madrid,False,1027,True,good,False,False,False,False,bj,True,unknown,unknown
30,20,750.0,flat,99.0,True,3,2,Madrid,Aranjuez,False,43492,False,good,False,False,False,False,1,True,unknown,unknown
31,29,680.0,flat,38.0,False,1,1,Madrid,Madrid,True,2591,False,good,False,False,False,False,1,True,unknown,unknown
32,24,750.0,flat,51.0,True,1,1,Madrid,Madrid,False,11896,False,good,False,False,False,False,1,True,True,True
33,12,750.0,penthouse,60.0,True,1,1,Madrid,Las Rozas de Madrid,False,21316,False,good,False,False,False,False,2,False,unknown,unknown
34,13,750.0,studio,25.0,False,0,1,Madrid,Madrid,False,533,False,good,False,False,False,False,4,True,unknown,unknown
35,7,750.0,flat,40.0,False,1,1,Madrid,Madrid,False,1989,False,good,False,False,False,False,1,False,unknown,unknown
36,15,750.0,flat,90.0,True,2,1,Guadalajara,Guadalajara,False,51503,False,good,False,False,False,False,1,False,unknown,unknown
37,11,750.0,flat,95.0,True,3,2,Toledo,Illescas,True,34444,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
38,13,650.0,flat,62.0,True,2,1,Madrid,Madrid,False,7841,False,good,False,True,False,False,1,False,unknown,unknown
39,15,750.0,studio,30.0,True,0,1,Madrid,Madrid,False,935,True,good,False,False,False,False,3,False,unknown,unknown
40,24,750.0,flat,39.0,False,1,1,Madrid,Madrid,False,2036,False,good,False,True,False,False,5,False,unknown,unknown
41,21,700.0,flat,62.0,True,2,1,Madrid,Madrid,False,8492,True,good,False,True,False,True,3,False,unknown,unknown
42,17,747.0,flat,96.0,True,3,2,Madrid,Navalcarnero,False,26611,False,good,False,True,False,False,1,True,True,True
43,13,730.0,flat,98.0,True,3,2,Toledo,Seseña,False,35011,False,good,False,False,False,False,2,True,unknown,unknown
44,16,640.0,studio,35.0,True,0,1,Madrid,Madrid,False,7324,False,good,False,False,False,False,1,True,True,True
45,13,530.0,flat,50.0,True,2,1,Toledo,Casarrubios del Monte,False,36223,False,good,False,False,False,False,1,False,unknown,unknown
46,20,750.0,flat,30.0,False,1,1,Madrid,Madrid,False,2133,False,good,False,False,False,False,st,True,unknown,unknown
47,20,750.0,flat,70.0,True,2,1,Madrid,Alcalá de Henares,True,28703,False,good,False,False,False,False,2,True,True,True
48,12,625.0,flat,52.0,True,2,1,Madrid,El Escorial,True,40445,False,good,False,False,False,False,2,False,unknown,unknown
49,9,700.0,studio,40.0,True,0,1,Madrid,Madrid,False,1431,False,good,False,False,False,False,3,True,unknown,unknown
50,28,750.0,studio,40.0,True,0,1,Madrid,Madrid,True,2417,False,good,False,False,False,False,en,True,unknown,unknown
51,18,650.0,flat,35.0,False,1,1,Madrid,Madrid,False,1121,True,good,False,False,False,False,2,True,unknown,unknown
52,24,720.0,flat,70.0,True,3,1,Madrid,Alcalá de Henares,False,29099,False,good,False,False,False,False,2,False,unknown,unknown
53,13,650.0,flat,70.0,True,2,1,Toledo,Calypo Fado,False,35607,False,good,False,False,False,False,1,False,unknown,unknown
54,28,699.0,flat,52.0,True,1,1,Madrid,Madrid,True,7092,False,good,False,False,False,False,3,True,unknown,unknown
55,13,650.0,flat,70.0,True,2,1,Toledo,Calypo Fado,False,36358,False,good,False,False,False,False,1,False,unknown,unknown
56,15,750.0,flat,65.0,True,2,1,Madrid,Leganés,False,13081,False,good,False,False,False,False,unknown,True,True,True
57,10,695.0,flat,65.0,True,2,1,Madrid,Coslada,False,13904,False,good,False,False,False,False,unknown,True,unknown,unknown
58,20,750.0,flat,78.0,True,2,2,Madrid,Torrejón de Ardoz,False,19719,False,good,False,False,False,False,unknown,True,True,True
59,18,620.0,flat,60.0,True,2,1,Madrid,Madrid,False,7981,False,good,False,False,False,False,unknown,False,unknown,unknown
60,13,500.0,studio,28.0,False,0,1,Madrid,Madrid,False,769,False,good,False,False,False,False,1,False,unknown,unknown
61,8,550.0,flat,38.0,True,1,1,Madrid,Leganés,False,10938,False,good,False,False,False,False,unknown,False,unknown,unknown
62,23,750.0,flat,46.0,False,1,1,Madrid,Madrid,False,1476,True,good,False,False,False,False,3,True,unknown,unknown
63,20,680.0,studio,55.0,True,0,1,Madrid,Madrid,False,5097,False,good,False,False,False,False,bj,False,unknown,unknown
64,27,750.0,chalet,130.0,False,4,1,Guadalajara,Marchamalo,False,50833,False,good,False,False,False,False,unknown,unknown,unknown,unknown
65,13,550.0,flat,70.0,True,1,1,Guadalajara,Guadalajara,False,51634,False,good,False,False,False,False,3,True,unknown,unknown
66,22,700.0,flat,50.0,True,1,2,Madrid,Camarma de Esteruelas,False,32052,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
67,13,750.0,duplex,35.0,True,1,1,Madrid,Madrid,False,4047,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
68,28,750.0,flat,66.0,True,2,1,Madrid,Alcorcón,False,13311,True,good,False,False,False,False,1,True,unknown,unknown
69,11,650.0,flat,65.0,True,1,1,Madrid,Alcalá de Henares,False,29440,False,good,False,False,False,False,en,True,unknown,unknown
70,39,720.0,flat,133.0,False,3,2,Madrid,Pinto,False,19453,False,good,False,True,False,True,1,True,True,True
71,17,700.0,flat,230.0,True,4,2,Guadalajara,Pozo de Guadalajara,False,45171,False,good,False,False,False,False,unknown,unknown,unknown,unknown
72,28,600.0,flat,50.0,True,1,1,Madrid,Valdemoro,False,24430,False,good,False,False,False,False,unknown,True,True,True
73,13,650.0,flat,61.0,True,1,1,Madrid,Collado Villalba,False,34886,False,good,False,False,False,False,2,True,True,True
